,similarity_scores_85
Umbrellas,['Umbrellas']
Meeting room,"['Meeting room', 'TVLiving Room', 'One meeting/conference room']"
Wine Cellar,"['Wine Cellar', 'Wine tasting']"
Motor boats,['Motor boats']
Bottled water in room(complimentary),"['Complimentary bottled water', 'Bottled water in room(complimentary)']"
Dial-up Internet access - complimentary,"['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Internet access-complimentary']"
Electronic Cattle,['Electronic Cattle']
Airport transportation - drop-off (complimentary),"['Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation - drop-off (surcharge)', 'Airport transfer (complimentary)']"
Hot tub,"['Hot tub', 'Hot Tub']"
Information desk,['Information desk']
Cribs available,"['Cribs available', 'Cribs/infant beds available']"
Public transportation,"['Public transportation', 'Transportation']"
Bath Tub,"['Bath Tub', 'Shower/tub combination', 'Spa tub']"
Health centre,"['Health centre', 'Health and fitness centre']"
Tennis,"['Tennis Courts', 'Tennis']"
Free movie channels,['Free movie channels']
Yoga Classestwin beds,['Yoga Classestwin beds']
Poolside bar,"['Poolside bar', 'Pool Bar', 'Bar/lounge', 'Poolside Bar']"
Body treatments,['Body treatments']
Laundry Service Same Day,"['Laundry Service Same Day', 'Laundry Service', 'Laundry Service (At a charge)', 'Room Service, 24 Hour Reception And Laundry Service', 'Room cleaning service']"
Laundry facilities,"['Laundry facilities', 'Laundry']"
Train Station close by,"['Train Station close by', 'Bus stop close by']"
Outdoor Fire/ Bonfire,['Outdoor Fire/ Bonfire']
Shuttle Service (surcharge),"['Shuttle Service', 'Airport shuttle(surcharge)', 'Shuttle Service (surcharge)', 'Area shuttle (surcharge)', 'Airport Shuttle (surcharge)']"
1 outdoor pool (heated),"['Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor']"
No pets except guide dogs,"['No pets except guide dogs', 'Guide dogs allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)']"
Grocery,"['Grocery store', 'Grocery', 'Grocery/convenience store']"
Packed lunches,"['Packed lunches', 'Packed Lunches']"
VIP room facilities,"['VIP room facilities', 'VIP Room Facilities']"
"Cookware, dishware, and utensils","['Cookware, dishware, and utensils']"
Outdoor Swimming Pool,"['Swimming pools', 'Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Outdoor pool (seasonal)']"
Laundry,"['Laundry facilities', 'Laundry']"
Acupuncture,['Acupuncture']
Aqua aerobics,"['Aqua aerobics', 'Aerobics']"
Satellite TV service,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Satellite Television', 'Cable TV service', 'Satellite television', 'Satellite TV', 'Digital TV service']"
Swimming pool (outdoor),"['Swimming pools', 'Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Outdoor pool (seasonal)']"
Croquet,['Croquet']
Premium bedding,['Premium bedding']
Room Service,"['24 hour room service', 'Room Service', 'Room Service, 24 Hour Reception', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room cleaning service', 'Room service(limited hours)', '24-hour Room Service']"
Limousine service (price advised by hotel),"['Limousine service (price advised by hotel)', 'Airport transfer (price advised by hotel)']"
Elevator/lift attendant,"['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift']"
Conference room(s),"['Conference room(s)', 'One meeting/conference room']"
24 hour security,"['24 hour security', 'Porterage 24 hour']"
Ski school,['Ski school']
Guide dogs allowed,"['No pets except guide dogs', 'Guide dogs allowed', 'Pets allowed (dogs only)']"
Photocopying,"['Photocopying', 'Fax/Photocopying', 'Fax/photocopying']"
Activity Centre,"['Activity Centre', 'Activity centre']"
Secure parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(secure)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Secure parking', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']"
Cards Room,"['Cards Room', 'Card room']"
Suitable for children,['Suitable for children']
Massage - spa treatment room(s),"['Massage - spa treatment room(s)', 'Massage-treatment room(s)', 'Massage room', 'Spa/Massage/Wellness']"
Roof top,['Roof top']
Room Service 7 Am To 9 Pm,"['Room Service from  7:00 to  9:30', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30']"
Secure covered parking (surcharge),"['Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Free secure covered parking', 'Parking(secure)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Secure parking', 'Self parking (surcharge)', 'Parking limited (surcharge)']"
Watersports,['Watersports']
Full-service health spa,"['Full-service health spa', 'Spa services onsite - Free', 'Full-sevices health spa', 'Spa services']"
Basketball Court,"['Basketball Court', 'Tennis Court', 'Basketball', 'Volleyball Court']"
Spa services on site,"['Spa services on site - Chargeable', 'Spa services on site', 'Spa services onsite - Free', 'Spa services']"
Balcony/sit Out,"['Balcony/sit Out', 'Balcony / Sit Out']"
24-Hour Front Desk,"['24 hour room service', '24 hours front desk', '24-Hour Front Desk', 'Front desk (limited hours)', '24-hour Room Service']"
Yoga Classes,"['Yoga', 'Yoga Classes', 'Aerobics classes']"
Solarium (nearby),['Solarium (nearby)']
Barbecue grill(s),['Barbecue grill(s)']
Hi-speed Wi-Fi net access (Chargeable,"['Hi-speed Wi-Fi net access (Chargeable', 'Chargeable Wi Fi Internet Connectivity']"
Cookery classes,['Cookery classes']
Intercom telephone,"['Intercom', 'Intercom telephone']"
Ice skating,"['Ice skating', 'Skating rink']"
Babysitting or childcare (surcharge),"['Babysitting or childcare (surcharge)', 'Babysitting or childcare (free)', 'Babysitting or childcare']"
Shower,"['Shower only', 'Shower', 'Bathtub or shower', 'Shower/tub combination', 'Separate bathtub and shower']"
Free covered parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Sea view,"['Sea view', 'Sea View', 'Ocean View', 'Ocean view']"
Welcome amenities,['Welcome amenities']
Supervised childcare/activities (free),"['Supervised childcare/activities (free)', 'Supervised childcare/activities', 'Supervised childcare/activities (surcharge)']"
Buzzer / Intercom,"['Intercom', 'Buzzer / Intercom']"
Comp Basic Wifi,['Comp Basic Wifi']
Airport transportation - pickup (complimentary),"['Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport transportation (surcharge)', 'Airport transportation - pickup (surcharge)', 'Airport transfer (complimentary)']"
Travel desk,"['Travel Desk', 'Travel desk']"
Conference & Banquet Facilities,"['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Meeting/Banquet Facilities', 'Conference / Banquet Hall', 'Banquet facilities']"
Ayurveda Centre,['Ayurveda Centre']
Total number of rooms -,['Total number of rooms -']
Vending machine (snacks),"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']"
Lazy river,['Lazy river']
34'' TV,"[""34'' TV"", ""29'' TV""]"
Check-Out Time is 12 Noon,['Check-Out Time is 12 Noon']
Connection for laptop,['Connection for laptop']
Wedding services,['Wedding services']
Camel safari,"['Camel safari', 'Safari']"
Internet access-high-speed,"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'Wired (high-speed) Internet access - surcharge']"
Theme park nearby,"['Theme park nearby', 'Park Nearby']"
Linen Provided,['Linen Provided']
Elephant trekking,"['Elephant trekking', 'Trekking']"
Exhibit space,['Exhibit space']
Fitness Center,"['Fitness Center', 'Health and fitness centre', 'Fitness Centre', 'Fitness centre']"
Hair salon,"['Hair salon', 'salon']"
Food Court - Pastry Shop,['Food Court - Pastry Shop']
Internet access (fees may apply),"['Internet access (fees may apply)', 'Internet access (on request)']"
River view,"['River view', 'Valley view', 'Lake view']"
Butler Service,"['Butler Service', 'Butler service']"
Swimming pool,"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Pool Terrace', 'Swimming pool - outdoor', 'Swiming Pool', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool']"
Swimming Pool,"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Pool Terrace', 'Swimming pool - outdoor', 'Swiming Pool', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool']"
Barber/Beauty Shop,"['Barber/Beauty Shop', 'Barber/beauty salon']"
Room Size: 234 sq m (2518 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Snooker room,"['Pool / Snooker Table', 'Snooker room']"
Theme nights,['Theme nights']
Parking(free),"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free long-term parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
"Room Service, 24 Hour Reception","['24 hour reception', 'Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service', 'Room Service, 24 Hour Reception', 'Room Service 6 Am - 12 Night', '24-hr Room Service', 'Room service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)', 'Room service(limited hours)', '24-hour Room Service']"
Extra towels/bedding,"['Extra towels/bedding', 'Extra towels/bedding in room']"
Free Temple Drop & Pick,['Free Temple Drop & Pick']
Meeting facilities size (feet) -,"['Meeting facilities size (feet) -', 'Meeting facilities size (meters) -']"
Ayurvedic centre (traditional Indian alternative medicine),['Ayurvedic centre (traditional Indian alternative medicine)']
Hot and cold running water available 24 hrs,"['Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', '24-hrs Hot & Cold Water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'TVHot & Cold Running Water']"
Mediterranean Lounge,['Mediterranean Lounge']
Wi-Fi/Wireless LANBathroom Toiletries,"['Wi-Fi/Wireless LANBathroom Toiletries', 'Wi-Fi/Wireless LANMinibar']"
Aqua bike,['Aqua bike']
Ergonomic chair,['Ergonomic chair']
Private beach,"['Private Beach Area', 'Private beach', 'Private Pool']"
Complimentary Airport/railway Station Transfer,"['Complimentary Airport/Railway Station Transfer', 'Complimentary Airport/railway Station Transfer', 'Airport transportation (complimentary)', 'Railway Station Transfer', 'Airport Transfer', 'Airport/Railway Station Transfer', 'Airport transfer (complimentary)', 'Train station pickup (complimentary)']"
Water Park,['Water Park']
VIP lounge,['VIP lounge']
Conference Facilities,"['Conference & Banquet Facilities', 'Conference Facilities', 'Meeting facilities', 'Seminar facilities', 'Meeting/Banquet Facilities']"
Room size (square feet),"['Room size (square feet)', 'Room size (square meters)']"
Wonderful natural view of mountain,['Wonderful natural view of mountain']
Airport transportation (complimentary),"['Complimentary Airport/Railway Station Transfer', 'Airport shuttle(surcharge)', 'Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Complimentary Airport/railway Station Transfer', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)', 'Airport transportation (surcharge)', 'Airport Shuttle', 'Airport Shuttle (surcharge)', 'Airport transportation - pickup (surcharge)', 'Airport transfer (complimentary)']"
Bathtub or shower,"['Shower only', 'bathtub', 'Shower', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Shower/tub combination', 'Separate bathtub and shower']"
Room Size:41 sq m(442 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Watersports (nearby),['Watersports (nearby)']
Pillowtop mattress,['Pillowtop mattress']
Room Service 7am-11:30pm,"['Room Service from  7:00 to  9:30', 'Room Service 7 Am To 9 Pm', 'Room Service 7am-11:30pm', 'Room Services 7 Am To 9 Pm', 'Room Service 6 Am - 12 Night', 'Room Service from 7:00 to 9:30']"
Valet parking,"['Valet parking', 'Free valet parking', 'Parking', 'Valet', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking', 'valet']"
Indoor Recreation Centre,['Indoor Recreation Centre']
Access to Business Club Lounge,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Club Lounge Access', 'Business Club Lounge Access']"
In-house movie,['In-house movie']
Hair Dryer,"['Clothes Dryer', 'Hair Dryer', 'Hair dryers', 'Hair dryer (on request)', 'Hair dryer on Request']"
Emergency power generator,['Emergency power generator']
Internet Services,"['Internet Services', 'ADSL Internet service', 'Internet access']"
Refrigerator,"['Refrigerator', 'Refrigerator-Room', 'Fridge', 'Full-sized refrigerator/freezer']"
24-hour Coffee Shop,"['24-hour Coffee Shop', '24-hr Coffee Shop', '24 hour coffee shop']"
Fishing Rods,"['Fishing Rods', 'Fishing']"
Indoor Swimming Pool (seasonal),"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']"
Go-karting (nearby),['Go-karting (nearby)']
Interpretation Service,['Interpretation Service']
Media Room,['Media Room']
Dolphin watching,['Dolphin watching']
Barber/beauty salon,"['Barber/Beauty Shop', 'Barber/beauty salon', 'salon']"
Executive Lounge,['Executive Lounge']
Coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']"
Cooking facilities (stove etc.),['Cooking facilities (stove etc.)']
Connecting / adjoining rooms available,"['Connecting / adjoining rooms available', 'Connecting rooms']"
Laundry Service,"['Laundry Service Same Day', 'Laundry Service', 'Ironing service', 'Dry cleaning/laundry service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room cleaning service', 'Ironing Service']"
